wind,solar,hydro,other_renewables_including_bioenergy,year,region
0,0,12.318000093102455,0,1990,Africa
0,0,13.415000349283218,0,1991,Africa
0,0,11.71500015258789,0,1992,Africa
0,0,11.033999979496002,0,1993,Africa
0,0,12.807999655604362,0,1994,Africa
0,0,12.525000378489494,0,1995,Africa
0,0,14.895000234246254,0.05999999865889549,1996,Africa
0,0,16.020999863743782,0.1459999978542328,1997,Africa
0,0,15.691000074148178,0.23100000619888306,1998,Africa
0.012000000104308128,0,15.193999573588371,0.19699999690055847,1999,Africa
0.2299999985843897,0,74.51000083424151,2.5799999870359898,2000,Africa
0.4599999915808439,0,81.20999947562814,2.619999995455146,2001,Africa
0.4299999997019768,0.019999999552965164,83.39999971538782,2.5199999902397394,2002,Africa
0.6100000068545341,0.019999999552965164,81.6900004837662,2.7899999879300594,2003,Africa
0.7799999825656414,0.019999999552965164,86.54000060260296,3.2599999867379665,2004,Africa
0.8300000037997961,0.019999999552965164,88.7200008071959,3.6199999898672104,2005,Africa
0.870000010356307,0.029999999329447746,91.91999929212034,3.6400000154972076,2006,Africa
1.1799999829381704,0.03999999910593033,93.98999922536314,3.5299999583512545,2007,Africa
1.2900000363588333,0.04999999888241291,95.6299998164177,3.900000059977174,2008,Africa
1.6999999806284904,0.06999999843537807,98.67999961040914,4.179999951273203,2009,Africa
2.3700000252574682,0.4099999889731407,109.49999892897904,4.610000029206276,2010,Africa
2.42999997548759,0.4999999962747097,110.56999955326319,4.800000008195639,2011,Africa
2.370000021532178,0.649999987334013,111.65999970026314,5.09000008739531,2012,Africa
3.5500000827014446,0.7399999871850014,116.87999809347093,5.719999924302101,2013,Africa
5.589999943971634,1.8599999714642763,122.17999926023185,9.519999764859676,2014,Africa
8.579999899491668,2.9100000374019146,120.03000053577125,10.879999779164791,2015,Africa
10.470000062137842,4.209999958053231,119.05000039748847,10.009999997913837,2016,Africa
11.53999992273748,5.59999999217689,124.99000109173357,9.850000189617276,2017,Africa
15.729999700561166,7.149999992921948,130.6700010728091,9.450000070035458,2018,Africa
17.469999684020877,7.860000018030405,132.43000050075352,9.850000204518437,2019,Africa
